rank,expert,performance_score,status,verified_numeric_forecasts,verified_qualitative_evidence,evidence_score,ranking_basis
1,کامران ندری,,provisional_no_performance_sample,1,1,92,numeric target with dated horizon and current FX-policy relevance
2,فردین آقابزرگی,,provisional_no_performance_sample,1,1,88,numeric range plus capital-market/FX relevance; numeric reconstruction still needs benchmark validation
3,وحید شقاقی شهری,,provisional_no_performance_sample,0,1,84,strong structural FX signal and current macro relevance
4,تیمور رحمانی,,provisional_no_performance_sample,0,1,83,strong inflation/budget transmission signal; few directly scored FX targets
5,مرتضی افقه,,provisional_no_performance_sample,0,1,82,current FX level/risk assessment and conditional political scenarios
6,علی مروی,,provisional_no_performance_sample,0,1,80,FX-policy mechanism and market-demand analysis
7,علی قنبری,,provisional_no_performance_sample,1,1,79,historical numeric FX forecast plus inflation/FX linkage
8,محمدصادق الحسینی,,provisional_no_performance_sample,0,2,78,conditional FX scenarios and macro valuation framework
9,حسین عبده تبریزی,,provisional_no_performance_sample,0,2,77,strong structural FX/financial-market framework
10,مجید شاکری,,provisional_no_performance_sample,0,1,76,current structural FX analysis under sanctions
11,پویا جبل عاملی,,provisional_no_performance_sample,0,1,74,long-run monetary/FX framework with historical FX analysis
12,مهدی پازوکی,,provisional_no_performance_sample,0,1,73,current political/inflation conditional framework
13,محمدقلی یوسفی,,provisional_no_performance_sample,0,1,71,historical FX-demand and inflation reasoning
14,علی سرزعیم,,provisional_no_performance_sample,0,1,70,scenario identification across political and energy shocks
15,داود سوری,,provisional_no_performance_sample,0,1,69,historical scenario-based FX forecasting evidence
16,محمدرضا فرزین,,provisional_no_performance_sample,0,1,67,policy/CBI FX signals but weak independent forecastability
17,عبدالناصر همتی,,provisional_no_performance_sample,0,1,66,current policy signal; no independently scored target
18,احسان خاندوزی,,provisional_no_performance_sample,0,1,64,policy/macroeconomic scenario evidence; limited numeric FX forecasts
19,امیرحسین خالقی,,provisional_no_performance_sample,0,1,63,inflation/crisis risk framework; limited direct FX targets
20,مصطفی صفاری,,provisional_no_performance_sample,0,1,62,conditional political-shock/FX framework
21,آلبرت بغزیان,,provisional_no_performance_sample,0,1,61,macro credibility but explicit caution about long-range forecasting
22,هادی حق‌شناس,,provisional_no_performance_sample,0,0,57,macro expertise but insufficient verified FX forecast records
23,فرشاد مومنی,,provisional_no_performance_sample,0,0,55,structural macro perspective; insufficient testable FX forecasts
24,مسعود میرکاظمی,,provisional_no_performance_sample,0,0,53,fiscal/energy policy relevance; insufficient independent FX forecasts
25,محسن رضایی,,provisional_no_performance_sample,0,0,51,political/macro scenario relevance; insufficient testable FX forecasts
26,مجتبی یوسفی,,provisional_no_performance_sample,0,0,49,housing/FX macro relevance; insufficient verified FX forecasts
27,مهدی سماواتی,,provisional_no_performance_sample,0,0,48,capital-market/FX relevance; insufficient verified historical targets
28,همایون دارابی,,provisional_no_performance_sample,0,0,47,capital-market relevance; insufficient verified FX forecast history
29,محمدهادی سبحانیان,,provisional_no_performance_sample,0,0,45,policy relevance but insufficient independent market forecasts
30,محسن زنگنه,,provisional_no_performance_sample,0,1,44,policy relevance but explicitly cautious about FX forecasting; insufficient scored targets
